Depth,Instances,Average Time
8,2,9086.0
9,2,19556.0
10,1,20939.0
11,2,47605.5
12,1,56098.0
13,9,102101.33333333333
14,11,117297.45454545454
15,14,217566.2142857143
16,21,317949.4761904762
17,38,541026.6315789474
18,47,716473.8510638297
19,67,1220634.6865671643
20,80,1899130.8625
21,96,3092942.3333333335
22,128,4822290.1328125
23,118,9238665.872881357
24,140,1.173576857142857E7
25,81,2.2528121925925925E7
26,79,2.5826435392405063E7
27,39,6.022313907692308E7
28,22,7.267887768181819E7
29,2,1.113479505E8
